,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_title,ltable_author,rtable_title,rtable_author,label
235,235,235,a2172,b1453,The Maze of Bones  (The 39 Clues #1),Rick Riordan,The Trials of Apollo Book Three The Burning Maze,Rick Riordan,0
75,75,75,a1266,b1604,The Blood of Olympus (The Heroes of Olympus #5),Rick Riordan,The Heroes of Olympus Paperback Boxed Set,Rick Riordan and ,1
540,540,540,a9,b1751,The Lord of the Rings (The Lord of the Rings #1-3),J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,1
61,61,61,a1230,b463,Same Kind of Different as Me: A Modern-Day Slave an International Art Dealer and the Unlikely Woman Who Bound Them Together,Ron Hall,The Darkest Night: Two Sisters a Brutal Murder and the Loss of Innocence in a Small Town,Ron Franscell,0
385,385,385,a370,b2981,Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,Harry Potter and the Deathly Hallows (Book 7),J. K. Rowling,0
36,36,36,a1121,b1673,The Case for Christ,Lee Strobel,The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Case for ... Series),Lee Strobel,1
158,158,158,a175,b1301,In Cold Blood,Truman Capote,In Cold Blood,Truman Capote,1
112,112,112,a145,b1394,Love You Forever,Robert Munsch,Love You Forever,Robert Munsch and ,1
292,292,292,a247,b939,A Short History of Nearly Everything,Bill Bryson,The Crazy Life of a Kid from Brooklyn: My Crazy Life in history with celebrities with travel & with business.,Bill Morgenstein,1
330,330,330,a2767,b1423,The 48 Laws of Power,Robert Greene,The 48 Laws of Power,Robert Greene,1
412,412,412,a43,b1922,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter And The Goblet Of Fire,J.K. Rowling and ,0
141,141,141,a1602,b1460,Go the Fuck to Sleep,Adam Mansbach,Go the F**k to Sleep,Adam Mansbach and ,0
181,181,181,a19,b1737,The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye,J.D. Salinger,1
29,29,29,a111,b2170,The Perks of Being a Wallflower,Stephen Chbosky,On Writing: 10th Anniversary Edition: A Memoir of the Craft,Stephen King,0
37,37,37,a1127,b1448,Thinking Fast and Slow,Daniel Kahneman,Thinking Fast and Slow,Daniel Kahneman,1
73,73,73,a1261,b1863,Think and Grow Rich,Napoleon Hill,Think and Grow Rich: The Original an Official Publication of The Napoleon Hill Foundation,Napoleon Hill,1
101,101,101,a14,b1747,Lord of the Flies,William Golding,Lord of the Flies,William Golding and ,1
294,294,294,a2474,b2773,The Wishing Spell (The Land of Stories #1),Chris Colfer,The Enchantress Returns (The Land of Stories),Chris Colfer and ,0
60,60,60,a1230,b134,Same Kind of Different as Me: A Modern-Day Slave an International Art Dealer and the Unlikely Woman Who Bound Them Together,Ron Hall,Running on Red Dog Road: And Other Perils of an Appalachian Childhood,Drema Hall Berkheimer,0
106,106,106,a1409,b2091,Into the Wild (Warriors #1),Erin Hunter,Warriors: The New Prophecy Box Set: Volumes 1 to 6: The Complete Second Series,Erin Hunter,1
512,512,512,a736,b1812,The Sea of Monsters (Percy Jackson and the Olympians #2),Rick Riordan,Magnus Chase and the Gods of Asgard Book 3 The Ship of the Dead,Rick Riordan,0
336,336,336,a2858,b2179,The Face of a Stranger (William Monk #1),Anne Perry,Anne Frank: The Diary of a Young Girl,Anne Frank and ,0
354,354,354,a312,b2647,The Name of the Wind (The Kingkiller Chronicle #1),Patrick Rothfuss,Shadows of the Stone Benders (The Anlon Cully Chronicles) (Volume 1),K Patrick Donoghue,0
439,439,439,a475,b1734,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,0
366,366,366,a35,b1779,Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,Harry Potter And The Chamber Of Secrets,J. K. Rowling and ,0
335,335,335,a284,b1244,How to Win Friends and Influence People,Dale Carnegie,How to Win Friends & Influence People,Dale Carnegie,1
242,242,242,a2232,b2427,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,100 Classic Rock Licks for Guitar: Learn 100 Rock Guitar Licks In The Style Of The World’s 20 Greatest Players (Guitar Licks in the Style of...),Joseph Alexander and ,0
6,6,6,a102,b302,The Good Earth (House of Earth #1),Pearl S. Buck,Cabal of The Westford Knight: Templars at the Newport Tower (Book #1 in the Templars in America Series),David S. Brody,0
564,564,564,a986,b700,Look Me in the Eye: My Life with Asperger's,John Elder Robison,Stephen Curry: Rise of the Star. The inspiring and interesting life story from a struggling young boy to become the legend. Life of Stephen Curry - one of the best basketball shooters in history.,John Emerson,0
312,312,312,a2642,b630,How to Find A Job: When There Are No Jobs A Necessary Job Search and Career Planning Guide for Today's Job Market (Find A Job Series),Paul Rega,Book Publishing for Authors: How to Write Publish and Market Your Book to a #1 Bestseller in the Next 90 Days (Paul G. Brodie Publishing Series Book 2) (Volume 1),Paul Brodie,0
413,413,413,a43,b1933,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter and the Prisoner of Azkaban,J.K. Rowling and ,0
41,41,41,a1173,b107,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,The Angry Therapist: A No BS Guide to Finding and Living Your Own Truth,John Kim,0
372,372,372,a352,b2932,It,Stephen King,It,Stephen King,1
395,395,395,a4,b2977,Pride and Prejudice,Jane Austen,Pride and Prejudice,Jane Austen,1
192,192,192,a1986,b168,Face of Our Father,G Egore Pitir,Face Of Our Father,G. Egore Pitir,1
393,393,393,a393,b381,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics #1),Steven D. Levitt,Going Home: A Novel of the Civil War,James D. Shipman,0
82,82,82,a1281,b1932,Diet for a New America: How Your Food Choices Affect Your Health Happiness and the Future of Life on Earth,John Robbins,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You (10th Anniversary Edition),John C. Maxwell and ,0
551,551,551,a96,b1679,Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter Book 1),J.K. Rowling and ,0
476,476,476,a573,b1712,The Story of Ferdinand,Munro Leaf,The Story of Ferdinand,Munro Leaf and ,1
34,34,34,a1115,b1812,The Mark of Athena (The Heroes of Olympus #3),Rick Riordan,Magnus Chase and the Gods of Asgard Book 3 The Ship of the Dead,Rick Riordan,1
27,27,27,a109,b540,The Fault in Our Stars,John Green,The Fault in Our Stars,John Green,1
423,423,423,a44,b2998,The Secret Garden,Frances Hodgson Burnett,The Secret Garden (HarperClassics),Frances Hodgson Burnett,1
64,64,64,a1231,b2311,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,The APRN’s Complete Guide to Prescribing Drug Therapy 2018,Mari J. Wirfs PhD  MN  APRN  ANP-BC  FNP-BC  CNE,0
444,444,444,a487,b2038,Alexander and the Terrible Horrible No Good Very Bad Day,Judith Viorst,Alexander and the Terrible Horrible No Good Very Bad Day,Judith Viorst and ,1
503,503,503,a66,b2983,The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye,J.D. Salinger,1
550,550,550,a96,b1521,Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,Harry Potter and the Sorcerer's Stone,J.K. Rowling and ,0
377,377,377,a370,b1432,Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter Book 3),J.K. Rowling and ,0
313,313,313,a268,b1307,A Brief History of Time,Stephen Hawking,A Brief History of Time,Stephen Hawking,1
524,524,524,a799,b1463,The Titan's Curse (Percy Jackson and the Olympians #3),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and ,1
87,87,87,a130,b1420,Man's Search for Meaning,Viktor E. Frankl,Man's Search for Meaning,Viktor E. Frankl and ,1
103,103,103,a1402,b2145,Out of My Mind,Sharon M. Draper,Out of My Mind,Sharon M. Draper,1
201,201,201,a2,b1779,Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,Harry Potter And The Chamber Of Secrets,J. K. Rowling and ,0
381,381,381,a370,b1779,Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,Harry Potter And The Chamber Of Secrets,J. K. Rowling and ,0
33,33,33,a1115,b1604,The Mark of Athena (The Heroes of Olympus #3),Rick Riordan,The Heroes of Olympus Paperback Boxed Set,Rick Riordan and ,0
28,28,28,a11,b321,The Book Thief,Markus Zusak,The Book Thief,Markus Zusak,1
104,104,104,a1406,b2980,The Last Battle (Chronicles of Narnia #7),C.S. Lewis,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)", C. S. Lewis,1
557,557,557,a96,b2997,Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,0
408,408,408,a43,b1477,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter Book 2),J.K. Rowling and ,0
480,480,480,a579,b362,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,The First World War: A Brief History with Documents (The Bedford Series in History and Culture),Susan R. Grayzel,0
538,538,538,a87,b2177,The Little House Collection (Little House #1-9),Laura Ingalls Wilder,The Little House (9 Volumes Set),Laura Ingalls Wilder and ,1
482,482,482,a59,b2992,The Adventures of Tom Sawyer,Mark Twain,The Adventures of Huckleberry Finn (Bantam Classic), Mark Twain,0
559,559,559,a971,b700,Let the Right One In,John Ajvide Lindqvist,Stephen Curry: Rise of the Star. The inspiring and interesting life story from a struggling young boy to become the legend. Life of Stephen Curry - one of the best basketball shooters in history.,John Emerson,0
26,26,26,a1085,b700,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,Stephen Curry: Rise of the Star. The inspiring and interesting life story from a struggling young boy to become the legend. Life of Stephen Curry - one of the best basketball shooters in history.,John Emerson,0
168,168,168,a183,b76,The Glass Castle,Jeannette Walls,The Glass Castle: A Memoir,Jeannette Walls,1
420,420,420,a433,b381,A Portrait of the Artist as a Young Man,James Joyce,Going Home: A Novel of the Civil War,James D. Shipman,0
407,407,407,a43,b1432,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter Book 3),J.K. Rowling and ,0
478,478,478,a575,b1052,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,Beyond Anger: A Guide for Men: How to Free Yourself from the Grip of Anger and Get More Out of Life,Thomas J. Harbin,0
403,403,403,a415,b2980,The Magician's Nephew (Chronicles of Narnia #6),C.S. Lewis,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)", C. S. Lewis,0
272,272,272,a2377,b2647,Dreamer (Chronicles of Marithe #1),Patrick O'Scheen,Shadows of the Stone Benders (The Anlon Cully Chronicles) (Volume 1),K Patrick Donoghue,0
308,308,308,a2592,b1650,Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Joel Fuhrman,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss Revised Edition,Joel Fuhrman,1
53,53,53,a1201,b1792,The Hero With a Thousand Faces,Joseph Campbell,The Hero with a Thousand Faces (The Collected Works of Joseph Campbell),Joseph Campbell,1
116,116,116,a1458,b2775,A Dance with Dragons (A Song of Ice and Fire #5),George R.R. Martin,Dawn and the Impossible Three (The Baby-sitters Club Graphic Novel #5): A Graphix Book (The Baby-Sitters Club Graphix),Ann M. Martin and ,0
72,72,72,a1258,b16,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Bluewater Stalker: The Sixth Novel in the Caribbean Mystery and Adventure Series (Bluewater Thrillers Book 6),Charles Dougherty,0
128,128,128,a15,b2981,Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,Harry Potter and the Deathly Hallows (Book 7),J. K. Rowling,1
338,338,338,a2878,b1598,Lean In: Women Work and the Will to Lead,Sheryl Sandberg,Lean In: Women Work and the Will to Lead,Sheryl Sandberg,1
12,12,12,a1051,b1449,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Sapiens: A Brief History of Humankind,Yuval Noah Harari,1
102,102,102,a140,b360,The Wonderful Wizard of Oz (Oz #1),L. Frank Baum,The Case of the Missing Call Girl: A Callie Ryden Mystery (Callie Ryden Mysteries Book 1),L. B. Love,0
448,448,448,a505,b1422,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,1
415,415,415,a43,b2981,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter and the Deathly Hallows (Book 7),J. K. Rowling,0
496,496,496,a624,b1750,The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wrinkle in Time: 50th Anniversary Commemorative Edition (A Wrinkle in Time Quintet),Madeleine L'Engle,1
32,32,32,a1114,b2697,The Stranger Beside Me: Ted Bundy The Shocking Inside Story,Ann Rule,The Stranger Beside Me,Ann Rule,1
528,528,528,a814,b1551,The Dark Tower Books 1-3: The Gunslinger The Drawing of the Three and The Waste Lands,Stephen King,The Illustrated Brief History of Time Updated and Expanded Edition,Stephen William Hawking,0
471,471,471,a56,b2163,One Hundred Years of Solitude,Gabriel García Márquez,One Hundred Years of Solitude (Harper Perennial Modern Classics),Gabriel Garcia Marquez and ,1
337,337,337,a2862,b1597,Nine Princes in Amber (The Chronicles of Amber #1),Roger Zelazny,"Men in Blazers Present Encyclopedia Blazertannica: A Suboptimal Guide to Soccer America's ""Sport of the Future"" Since 1972",Roger Bennett and ,0
260,260,260,a23,b1838,Of Mice and Men,John Steinbeck,Of Mice and Men,John Steinbeck,1
311,311,311,a2606,b2806,The Narrow Road to the Deep North,Richard Flanagan,The Narrow Road to the Deep North,Richard Flanagan,1
137,137,137,a1579,b1474,One Fish Two Fish Red Fish Blue Fish,Dr. Seuss,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss and ,1
85,85,85,a1281,b700,Diet for a New America: How Your Food Choices Affect Your Health Happiness and the Future of Life on Earth,John Robbins,Stephen Curry: Rise of the Star. The inspiring and interesting life story from a struggling young boy to become the legend. Life of Stephen Curry - one of the best basketball shooters in history.,John Emerson,0
47,47,47,a1181,b2054,Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,Diary of a Wimpy Kid #10: Old School,Jeff Kinney,1
303,303,303,a2546,b1366,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,1
194,194,194,a1999,b1052,How to Think About the Great Ideas: From the Great Books of Western Civilization,Mortimer J. Adler,Beyond Anger: A Guide for Men: How to Free Yourself from the Grip of Anger and Get More Out of Life,Thomas J. Harbin,0
134,134,134,a1556,b360,Many Lives Many Masters: The True Story of a Prominent Psychiatrist His Young Patient and the Past Life Therapy That Changed Both Their Lives,Brian L. Weiss,The Case of the Missing Call Girl: A Callie Ryden Mystery (Callie Ryden Mysteries Book 1),L. B. Love,0
388,388,388,a39,b2995,Les Misrables,Victor Hugo,Les Misrables,Victor Hugo,1
296,296,296,a2482,b798,The Spirit Catches You and You Fall Down: A Hmong Child Her American Doctors and the Collision of Two Cultures,Anne Fadiman,The Whitechapel Conspiracy: A Charlotte and Thomas Pitt Novel,Anne Perry,0
180,180,180,a1896,b86,The Storyteller,Jodi Picoult,The Storyteller,Jodi Picoult,1
348,348,348,a2983,b1462,Being Mortal: Medicine and What Matters in the End,Atul Gawande,Being Mortal: Medicine and What Matters in the End,Atul Gawande,1
451,451,451,a509,b2775,I Have a Dream: Writings and Speeches That Changed the World,Martin Luther King Jr.,Dawn and the Impossible Three (The Baby-sitters Club Graphic Novel #5): A Graphix Book (The Baby-Sitters Club Graphix),Ann M. Martin and ,0
10,10,10,a1034,b615,The Very Hungry Caterpillar,Eric Carle,The Very Hungry Caterpillar,Eric Carle,1
409,409,409,a43,b1521,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter and the Sorcerer's Stone,J.K. Rowling and ,0
504,504,504,a695,b781,Ready Player One (Ready Player One #1),Ernest Cline,Ready Player One: A Novel,Ernest Cline,1
89,89,89,a131,b1630,A Game of Thrones (A Song of Ice and Fire #1),George R.R. Martin,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,1
138,138,138,a1599,b381,The Assiduous Quest of Tobias Hopkins: The Complete Novel,James Faro,Going Home: A Novel of the Civil War,James D. Shipman,0
56,56,56,a1213,b700,A Son of the Circus,John Irving,Stephen Curry: Rise of the Star. The inspiring and interesting life story from a struggling young boy to become the legend. Life of Stephen Curry - one of the best basketball shooters in history.,John Emerson,0
317,317,317,a27,b1477,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter Book 2),J.K. Rowling and ,0
400,400,400,a409,b2088,Pippi Longstocking,Astrid Lindgren,Pippi Longstocking,Astrid Lindgren and ,1
394,394,394,a398,b455,The Art of Happiness,Dalai Lama XIV,The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama and ,0
429,429,429,a462,b1865,The Devil in the White City: Murder Magic and Madness at the Fair That Changed America,Erik Larson,The Devil in the White City: Murder Magic and Madness at the Fair That Changed America,Erik Larson,1
16,16,16,a107,b1306,A Wrinkle in Time (A Wrinkle in Time Quintet #1),Madeleine L'Engle,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,1
211,211,211,a2038,b1315,A Swiftly Tilting Planet (A Wrinkle in Time Quintet #3),Madeleine L'Engle,The Wrinkle in Time Quintet Boxed Set (A Wrinkle in Time A Wind in the Door A Swiftly Tilting Planet Many Waters An Acceptable Time),Madeleine L'Engle,0
110,110,110,a1434,b306,The Portrait of a Lady,Henry James,The Range Bucket List: The Golf Adventure of a Lifetime,James Dodson,0
355,355,355,a315,b939,A Walk in the Woods,Bill Bryson,The Crazy Life of a Kid from Brooklyn: My Crazy Life in history with celebrities with travel & with business.,Bill Morgenstein,0
450,450,450,a509,b1693,I Have a Dream: Writings and Speeches That Changed the World,Martin Luther King Jr.,Radical Inclusion: What the Post-9/11 World Should Have Taught Us About Leadership,Martin Dempsey and ,0
358,358,358,a334,b1869,Who Moved My Cheese?,Spencer Johnson,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson and ,1
151,151,151,a1728,b1990,The Power of a Praying Parent,Stormie Omartian,The Power of a Praying® Wife,Stormie Omartian,1
